p5,p6,matrix_size_x,matrix_size_y,p2,p1,p8,p7,p3,p4,performance
18,8,4784,4974,43,213,53,5,27,30,0.130534
22,3,2427,3109,108,29,2,92,4,7,0.0321952
11,9,3426,2805,94,15,98,70,10,21,0.0374015
22,20,4756,2779,153,230,18,32,24,11,0.0576987
22,30,1328,3868,249,197,19,66,31,13,0.0209786
11,18,4167,1397,56,175,42,42,12,31,0.027608
16,6,1646,2044,69,46,53,97,31,19,0.0305594
8,5,1115,1111,111,20,35,67,22,24,0.0263897
26,13,2668,1348,159,124,28,35,25,13,0.0271464
19,12,2916,3957,49,118,13,72,16,29,0.0403354
17,6,2396,4667,182,25,16,40,31,18,0.198022
5,27,3047,4121,145,194,3,55,1,5,0.0549579
8,0,1616,3255,106,68,23,78,26,27,0.0212354
2,17,1289,2160,115,193,31,47,28,10,0.0229885
2,4,4171,3115,137,11,68,47,13,27,0.145877
28,7,1710,3916,80,208,15,3,26,24,0.0329989
24,26,1234,1252,70,35,73,92,20,1,0.0197994
9,14,3150,1625,249,198,50,5,7,28,0.0355665
11,11,3154,4932,189,169,23,41,20,9,0.0535637
10,8,3273,2260,81,253,58,85,26,27,0.0434353
13,23,4060,1369,27,83,48,37,10,30,0.0230743
27,18,2279,3941,146,150,57,14,21,29,0.0444082
20,26,2297,3173,110,75,46,51,19,22,0.0313604
7,13,2206,3797,232,126,46,13,8,31,0.0432616
2,9,4251,2425,50,96,19,23,14,31,0.0525874
18,19,3520,4347,16,127,48,18,14,23,0.0889155
6,17,2158,4146,197,68,9,18,27,12,0.0538316
26,14,2336,1964,109,204,5,89,3,24,0.0491477
18,30,4276,4748,34,169,96,44,3,10,0.0645514
31,0,4411,4324,72,42,30,58,24,0,0.15905
8,4,3531,4480,95,62,78,18,27,30,0.0932877
16,16,2302,3527,49,228,25,68,1,26,0.034873
22,11,4658,3858,115,185,66,8,2,9,0.0645918
21,10,2955,4670,74,139,42,21,23,21,0.0736569
26,17,2405,1525,77,100,71,15,26,5,0.0290823
1,3,3611,4020,242,230,43,82,12,3,0.167286
24,32,2384,4500,191,253,20,64,14,21,0.0394329
12,29,1010,1486,61,15,19,78,13,20,0.0567564
20,9,4130,4994,28,93,83,77,7,23,0.0573825
18,24,3504,4043,137,32,4,82,16,9,0.148607
8,13,2837,3275,237,8,63,37,5,12,0.0747592
10,18,2452,1079,92,129,29,21,18,23,0.0217957
25,19,4396,4597,230,246,98,66,31,21,0.0813176
26,16,4674,3556,231,197,69,11,23,7,0.0755975
12,22,3904,3876,136,120,85,40,25,28,0.0611504
27,3,2000,3794,151,18,95,66,7,2,0.025069
8,5,2514,4869,71,132,5,64,15,31,0.0380127
21,8,1844,1820,76,184,94,91,22,24,0.0255563
18,20,4583,3470,230,47,59,85,14,11,0.0581027
28,4,4050,2937,136,12,26,94,29,10,0.371219
17,29,2716,3301,93,72,89,50,12,18,0.0373021
20,29,1301,4661,57,142,44,57,31,4,0.0185597
15,31,3972,3460,233,51,55,56,15,15,0.0551016
2,12,4528,2818,219,87,57,73,23,2,0.103864
10,13,1511,1963,15,104,46,36,22,30,0.0227913
31,28,3865,2391,35,24,56,92,29,28,0.0865937
13,22,1353,4228,141,42,71,18,20,13,0.0183155
25,3,1810,2089,3,95,64,78,12,1,0.0313327
